,run,round,hold_1,hold_2,score_1,score_2
464,155,3,"['pudding', 'sashimi', 'pudding', 'pudding', 'tempura', 'sashimi', 'salmon nigiri', 'sashimi', 'maki roll 2', 'wasabi', 'wasabi']","['pudding', 'pudding', 'pudding', 'maki roll 2', 'pudding', 'egg nigiri', 'wasabi', 'salmon nigiri', 'dumpling', 'tempura', 'pudding', 'salmon nigiri', 'sashimi']",38,28
465,156,1,"['pudding', 'tempura', 'wasabi', 'dumpling', 'sashimi', 'maki roll 3', 'sashimi', 'squid nigiri', 'pudding', 'squid nigiri']","['tempura', 'wasabi', 'egg nigiri', 'dumpling', 'maki roll 2', 'sashimi', 'sashimi', 'salmon nigiri', 'dumpling', 'egg nigiri']",13,10
466,156,2,"['pudding', 'pudding', 'pudding', 'maki roll 2', 'tempura', 'dumpling', 'tempura', 'squid nigiri', 'tempura', 'dumpling', 'tempura', 'maki roll 2']","['sashimi', 'maki roll 1', 'maki roll 2', 'pudding', 'chopsticks', 'dumpling', 'tempura', 'maki roll 1', 'tempura', 'tempura']",32,19
467,156,3,"['pudding', 'pudding', 'pudding', 'wasabi', 'maki roll 2', 'wasabi', 'salmon nigiri', 'tempura', 'dumpling', 'squid nigiri', 'maki roll 2', 'maki roll 3', 'dumpling']","['pudding', 'salmon nigiri', 'egg nigiri', 'sashimi', 'salmon nigiri', 'sashimi', 'maki roll 3', 'maki roll 2', 'dumpling', 'sashimi', 'tempura']",52,32
468,157,1,"['sashimi', 'sashimi', 'dumpling', 'egg nigiri', 'sashimi', 'maki roll 2', 'maki roll 3', 'maki roll 2', 'maki roll 1', 'salmon nigiri']","['dumpling', 'dumpling', 'wasabi', 'tempura', 'tempura', 'tempura', 'maki roll 1', 'dumpling', 'maki roll 2', 'maki roll 2']",20,14
469,157,2,"['maki roll 1', 'pudding', 'maki roll 2', 'wasabi', 'maki roll 1', 'sashimi', 'squid nigiri', 'dumpling', 'pudding', 'maki roll 2']","['tempura', 'sashimi', 'sashimi', 'maki roll 3', 'maki roll 3', 'maki roll 2', 'dumpling', 'tempura', 'pudding', 'tempura']",27,23
470,157,3,"['pudding', 'pudding', 'salmon nigiri', 'dumpling', 'tempura', 'salmon nigiri', 'tempura', 'sashimi', 'maki roll 3', 'pudding', 'sashimi', 'egg nigiri']","['pudding', 'pudding', 'pudding', 'salmon nigiri', 'tempura', 'salmon nigiri', 'sashimi', 'sashimi', 'dumpling', 'salmon nigiri', 'tempura']",47,41
471,158,1,"['squid nigiri', 'maki roll 2', 'sashimi', 'salmon nigiri', 'pudding', 'salmon nigiri', 'squid nigiri', 'tempura', 'pudding', 'dumpling']","['maki roll 1', 'wasabi', 'sashimi', 'maki roll 2', 'maki roll 3', 'sashimi', 'maki roll 2', 'salmon nigiri', 'salmon nigiri', 'pudding']",14,7
472,158,2,"['pudding', 'pudding', 'sashimi', 'tempura', 'dumpling', 'maki roll 3', 'squid nigiri', 'tempura', 'chopsticks', 'dumpling', 'dumpling', 'maki roll 1']","['pudding', 'squid nigiri', 'salmon nigiri', 'sashimi', 'chopsticks', 'chopsticks', 'maki roll 2', 'maki roll 3', 'dumpling', 'chopsticks', 'sashimi']",31,16
473,158,3,"['pudding', 'pudding', 'maki roll 1', 'wasabi', 'sashimi', 'squid nigiri', 'maki roll 2', 'maki roll 1', 'tempura', 'dumpling', 'wasabi', 'dumpling']","['pudding', 'sashimi', 'pudding', 'dumpling', 'egg nigiri', 'salmon nigiri', 'maki roll 2', 'maki roll 3', 'egg nigiri', 'maki roll 3', 'dumpling']",43,29
474,159,1,"['maki roll 2', 'egg nigiri', 'sashimi', 'dumpling', 'pudding', 'tempura', 'maki roll 2', 'maki roll 3', 'tempura', 'maki roll 1']","['dumpling', 'pudding', 'maki roll 2', 'dumpling', 'maki roll 2', 'maki roll 1', 'wasabi', 'pudding', 'maki roll 2', 'dumpling']",13,9
475,159,2,"['pudding', 'wasabi', 'tempura', 'sashimi', 'dumpling', 'tempura', 'salmon nigiri', 'chopsticks', 'maki roll 2', 'maki roll 3', 'dumpling']","['pudding', 'pudding', 'salmon nigiri', 'maki roll 3', 'tempura', 'maki roll 1', 'sashimi', 'wasabi', 'dumpling', 'salmon nigiri', 'pudding', 'sashimi']",29,17
476,159,3,"['pudding', 'salmon nigiri', 'squid nigiri', 'tempura', 'wasabi', 'maki roll 3', 'tempura', 'maki roll 2', 'maki roll 2', 'chopsticks', 'pudding']","['pudding', 'pudding', 'pudding', 'squid nigiri', 'squid nigiri', 'maki roll 2', 'maki roll 3', 'tempura', 'salmon nigiri', 'pudding', 'sashimi', 'pudding', 'sashimi']",39,34
477,160,1,"['salmon nigiri', 'chopsticks', 'maki roll 1', 'salmon nigiri', 'dumpling', 'egg nigiri', 'sashimi', 'wasabi', 'tempura', 'egg nigiri']","['egg nigiri', 'wasabi', 'maki roll 2', 'maki roll 2', 'wasabi', 'pudding', 'dumpling', 'dumpling', 'salmon nigiri', 'dumpling']",10,12
478,160,2,"['dumpling', 'maki roll 3', 'salmon nigiri', 'dumpling', 'pudding', 'maki roll 2', 'pudding', 'maki roll 2', 'tempura', 'squid nigiri']","['pudding', 'sashimi', 'salmon nigiri', 'egg nigiri', 'salmon nigiri', 'maki roll 3', 'sashimi', 'wasabi', 'maki roll 3', 'maki roll 3', 'tempura']",21,20
479,160,3,"['pudding', 'pudding', 'dumpling', 'maki roll 3', 'sashimi', 'maki roll 1', 'dumpling', 'dumpling', 'squid nigiri', 'sashimi', 'sashimi', 'dumpling']","['pudding', 'tempura', 'sashimi', 'maki roll 3', 'sashimi', 'squid nigiri', 'pudding', 'tempura', 'pudding', 'tempura', 'pudding']",44,37
480,161,1,"['maki roll 2', 'salmon nigiri', 'pudding', 'maki roll 2', 'salmon nigiri', 'dumpling', 'maki roll 2', 'tempura', 'maki roll 2', 'pudding']","['dumpling', 'tempura', 'maki roll 3', 'wasabi', 'maki roll 2', 'wasabi', 'chopsticks', 'wasabi', 'maki roll 1', 'maki roll 2']",8,4
481,161,2,"['pudding', 'pudding', 'dumpling', 'egg nigiri', 'pudding', 'maki roll 3', 'egg nigiri', 'dumpling', 'maki roll 1', 'chopsticks', 'squid nigiri', 'tempura']","['dumpling', 'tempura', 'tempura', 'maki roll 1', 'dumpling', 'sashimi', 'pudding', 'maki roll 2', 'maki roll 3', 'sashimi']",19,15
482,161,3,"['pudding', 'pudding', 'pudding', 'maki roll 3', 'maki roll 3', 'egg nigiri', 'maki roll 1', 'maki roll 3', 'tempura', 'pudding', 'wasabi', 'sashimi', 'sashimi']","['pudding', 'tempura', 'tempura', 'tempura', 'dumpling', 'sashimi', 'chopsticks', 'sashimi', 'squid nigiri', 'sashimi', 'salmon nigiri']",32,33
483,162,1,"['dumpling', 'maki roll 2', 'dumpling', 'pudding', 'tempura', 'maki roll 2', 'wasabi', 'pudding', 'tempura', 'tempura']","['wasabi', 'salmon nigiri', 'pudding', 'sashimi', 'squid nigiri', 'tempura', 'maki roll 1', 'tempura', 'dumpling', 'maki roll 3']",11,14
484,162,2,"['pudding', 'pudding', 'dumpling', 'tempura', 'tempura', 'dumpling', 'salmon nigiri', 'maki roll 1', 'maki roll 2', 'salmon nigiri', 'squid nigiri', 'maki roll 2']","['pudding', 'egg nigiri', 'maki roll 3', 'sashimi', 'tempura', 'squid nigiri', 'tempura', 'maki roll 3', 'wasabi', 'sashimi', 'wasabi']",29,26
485,162,3,"['pudding', 'pudding', 'maki roll 3', 'squid nigiri', 'maki roll 2', 'sashimi', 'dumpling', 'tempura', 'maki roll 3', 'egg nigiri', 'tempura', 'chopsticks']","['pudding', 'maki roll 2', 'pudding', 'pudding', 'dumpling', 'chopsticks', 'sashimi', 'sashimi', 'salmon nigiri', 'maki roll 2', 'dumpling']",39,40
486,163,1,"['wasabi', 'tempura', 'salmon nigiri', 'maki roll 2', 'tempura', 'tempura', 'maki roll 2', 'maki roll 2', 'maki roll 1', 'maki roll 3']","['chopsticks', 'chopsticks', 'maki roll 2', 'maki roll 3', 'squid nigiri', 'tempura', 'sashimi', 'salmon nigiri', 'egg nigiri', 'maki roll 1']",13,9
487,163,2,"['dumpling', 'sashimi', 'sashimi', 'wasabi', 'pudding', 'tempura', 'maki roll 2', 'salmon nigiri', 'maki roll 3', 'dumpling']","['dumpling', 'salmon nigiri', 'wasabi', 'egg nigiri', 'egg nigiri', 'tempura', 'dumpling', 'maki roll 1', 'salmon nigiri', 'maki roll 2']",24,21
488,163,3,"['pudding', 'salmon nigiri', 'dumpling', 'sashimi', 'wasabi', 'tempura', 'tempura', 'maki roll 3', 'maki roll 3', 'sashimi', 'maki roll 1']","['salmon nigiri', 'tempura', 'maki roll 2', 'squid nigiri', 'sashimi', 'pudding', 'tempura', 'tempura', 'salmon nigiri', 'salmon nigiri']",41,41
489,164,1,"['pudding', 'pudding', 'sashimi', 'egg nigiri', 'wasabi', 'sashimi', 'tempura', 'salmon nigiri', 'sashimi', 'maki roll 2']","['sashimi', 'maki roll 2', 'sashimi', 'dumpling', 'tempura', 'sashimi', 'chopsticks', 'tempura', 'dumpling', 'maki roll 1']",16,21
490,164,2,"['pudding', 'pudding', 'tempura', 'sashimi', 'salmon nigiri', 'maki roll 2', 'tempura', 'sashimi', 'squid nigiri', 'salmon nigiri', 'pudding', 'sashimi']","['dumpling', 'tempura', 'tempura', 'dumpling', 'squid nigiri', 'tempura', 'maki roll 3', 'pudding', 'dumpling', 'squid nigiri']",41,41
491,164,3,"['pudding', 'pudding', 'pudding', 'salmon nigiri', 'pudding', 'maki roll 3', 'salmon nigiri', 'sashimi', 'dumpling', 'sashimi', 'wasabi', 'chopsticks', 'maki roll 2']","['pudding', 'maki roll 1', 'sashimi', 'chopsticks', 'salmon nigiri', 'maki roll 3', 'salmon nigiri', 'maki roll 3', 'egg nigiri', 'salmon nigiri', 'maki roll 3']",55,45
492,165,1,"['maki roll 2', 'egg nigiri', 'chopsticks', 'tempura', 'maki roll 1', 'tempura', 'pudding', 'maki roll 2', 'dumpling', 'tempura']","['tempura', 'wasabi', 'dumpling', 'tempura', 'egg nigiri', 'maki roll 3', 'tempura', 'tempura', 'pudding', 'sashimi']",13,15
493,165,2,"['pudding', 'tempura', 'maki roll 2', 'maki roll 1', 'tempura', 'dumpling', 'chopsticks', 'pudding', 'pudding', 'sashimi', 'maki roll 2']","['pudding', 'sashimi', 'dumpling', 'maki roll 2', 'salmon nigiri', 'chopsticks', 'wasabi', 'salmon nigiri', 'pudding', 'wasabi', 'maki roll 2']",25,23
494,165,3,"['pudding', 'pudding', 'pudding', 'maki roll 2', 'salmon nigiri', 'dumpling', 'sashimi', 'maki roll 3', 'maki roll 2', 'maki roll 2', 'sashimi', 'squid nigiri', 'sashimi']","['pudding', 'pudding', 'maki roll 3', 'sashimi', 'sashimi', 'maki roll 3', 'dumpling', 'dumpling', 'sashimi', 'dumpling', 'sashimi', 'maki roll 3']",50,36
495,166,1,"['tempura', 'sashimi', 'pudding', 'dumpling', 'salmon nigiri', 'maki roll 1', 'wasabi', 'dumpling', 'sashimi', 'wasabi']","['dumpling', 'maki roll 3', 'sashimi', 'squid nigiri', 'salmon nigiri', 'pudding', 'dumpling', 'egg nigiri', 'tempura', 'dumpling']",8,15
496,166,2,"['pudding', 'maki roll 2', 'wasabi', 'salmon nigiri', 'sashimi', 'maki roll 3', 'pudding', 'wasabi', 'sashimi', 'maki roll 3', 'maki roll 1']","['pudding', 'tempura', 'egg nigiri', 'dumpling', 'pudding', 'dumpling', 'maki roll 2', 'dumpling', 'tempura', 'tempura', 'salmon nigiri']",16,32
497,166,3,"['pudding', 'pudding', 'dumpling', 'salmon nigiri', 'maki roll 3', 'maki roll 2', 'salmon nigiri', 'maki roll 1', 'maki roll 3', 'pudding', 'chopsticks', 'maki roll 2']","['pudding', 'pudding', 'sashimi', 'tempura', 'maki roll 2', 'maki roll 3', 'maki roll 2', 'maki roll 2', 'sashimi', 'tempura', 'sashimi', 'dumpling']",33,45
498,167,1,"['wasabi', 'tempura', 'dumpling', 'tempura', 'chopsticks', 'tempura', 'pudding', 'wasabi', 'salmon nigiri', 'sashimi']","['dumpling', 'chopsticks', 'dumpling', 'maki roll 2', 'tempura', 'salmon nigiri', 'tempura', 'sashimi', 'egg nigiri', 'salmon nigiri']",11,16
499,167,2,"['pudding', 'sashimi', 'sashimi', 'wasabi', 'maki roll 2', 'sashimi', 'salmon nigiri', 'tempura', 'sashimi', 'maki roll 3', 'chopsticks']","['sashimi', 'maki roll 2', 'tempura', 'tempura', 'tempura', 'salmon nigiri', 'sashimi', 'pudding', 'squid nigiri', 'pudding']",29,29
500,167,3,"['pudding', 'maki roll 3', 'dumpling', 'squid nigiri', 'pudding', 'sashimi', 'salmon nigiri', 'maki roll 1', 'egg nigiri', 'maki roll 2', 'salmon nigiri']","['pudding', 'pudding', 'dumpling', 'sashimi', 'dumpling', 'maki roll 3', 'dumpling', 'maki roll 3', 'pudding', 'dumpling', 'maki roll 2', 'maki roll 2']",35,48
501,168,1,"['maki roll 1', 'chopsticks', 'wasabi', 'egg nigiri', 'sashimi', 'maki roll 2', 'squid nigiri', 'tempura', 'chopsticks', 'maki roll 2']","['maki roll 3', 'pudding', 'dumpling', 'maki roll 3', 'dumpling', 'pudding', 'egg nigiri', 'sashimi', 'maki roll 1', 'maki roll 3']",7,7
502,168,2,"['pudding', 'sashimi', 'pudding', 'sashimi', 'sashimi', 'sashimi', 'dumpling', 'dumpling', 'dumpling', 'maki roll 2']","['pudding', 'pudding', 'egg nigiri', 'maki roll 2', 'wasabi', 'pudding', 'chopsticks', 'maki roll 2', 'sashimi', 'dumpling', 'dumpling', 'sashimi']",26,14
503,168,3,"['pudding', 'pudding', 'dumpling', 'wasabi', 'pudding', 'tempura', 'pudding', 'salmon nigiri', 'maki roll 3', 'tempura', 'pudding', 'salmon nigiri']","['pudding', 'pudding', 'pudding', 'maki roll 2', 'dumpling', 'maki roll 2', 'tempura', 'sashimi', 'wasabi', 'tempura', 'maki roll 1', 'sashimi', 'tempura']",45,17
504,169,1,"['egg nigiri', 'tempura', 'pudding', 'dumpling', 'dumpling', 'dumpling', 'egg nigiri', 'sashimi', 'sashimi', 'tempura']","['maki roll 1', 'pudding', 'egg nigiri', 'wasabi', 'sashimi', 'pudding', 'maki roll 2', 'wasabi', 'tempura', 'wasabi']",16,4
505,169,2,"['pudding', 'wasabi', 'tempura', 'salmon nigiri', 'tempura', 'wasabi', 'salmon nigiri', 'dumpling', 'egg nigiri', 'dumpling', 'salmon nigiri']","['pudding', 'pudding', 'maki roll 2', 'sashimi', 'salmon nigiri', 'maki roll 2', 'salmon nigiri', 'wasabi', 'chopsticks', 'dumpling', 'tempura', 'maki roll 1']",34,12
506,169,3,"['pudding', 'maki roll 3', 'salmon nigiri', 'sashimi', 'squid nigiri', 'tempura', 'pudding', 'tempura', 'maki roll 1', 'tempura', 'maki roll 3']","['pudding', 'pudding', 'tempura', 'maki roll 2', 'maki roll 3', 'sashimi', 'dumpling', 'maki roll 2', 'maki roll 3', 'maki roll 2', 'chopsticks', 'pudding']",41,22
507,170,1,"['salmon nigiri', 'tempura', 'sashimi', 'squid nigiri', 'sashimi', 'squid nigiri', 'maki roll 2', 'salmon nigiri', 'pudding', 'sashimi']","['maki roll 1', 'maki roll 3', 'maki roll 1', 'dumpling', 'pudding', 'tempura', 'chopsticks', 'sashimi', 'maki roll 2', 'salmon nigiri']",23,6
508,170,2,"['pudding', 'wasabi', 'egg nigiri', 'salmon nigiri', 'tempura', 'egg nigiri', 'maki roll 1', 'tempura', 'maki roll 2', 'maki roll 1', 'maki roll 2']","['pudding', 'salmon nigiri', 'maki roll 2', 'maki roll 2', 'dumpling', 'salmon nigiri', 'maki roll 3', 'dumpling', 'dumpling', 'maki roll 2', 'sashimi']",35,19
509,170,3,"['pudding', 'tempura', 'pudding', 'dumpling', 'egg nigiri', 'dumpling', 'tempura', 'wasabi', 'chopsticks', 'pudding', 'tempura']","['pudding', 'maki roll 3', 'maki roll 2', 'dumpling', 'sashimi', 'salmon nigiri', 'wasabi', 'maki roll 3', 'dumpling', 'maki roll 2', 'tempura']",53,21
510,171,1,"['dumpling', 'maki roll 2', 'maki roll 2', 'sashimi', 'dumpling', 'dumpling', 'salmon nigiri', 'chopsticks', 'pudding', 'maki roll 2']","['sashimi', 'dumpling', 'tempura', 'maki roll 3', 'tempura', 'salmon nigiri', 'tempura', 'sashimi', 'squid nigiri', 'tempura']",14,19
511,171,2,"['pudding', 'wasabi', 'sashimi', 'sashimi', 'maki roll 2', 'maki roll 2', 'maki roll 3', 'pudding', 'chopsticks', 'salmon nigiri', 'tempura']","['salmon nigiri', 'maki roll 3', 'pudding', 'wasabi', 'egg nigiri', 'salmon nigiri', 'dumpling', 'sashimi', 'tempura', 'egg nigiri']",22,29
512,171,3,"['pudding', 'pudding', 'maki roll 1', 'egg nigiri', 'chopsticks', 'squid nigiri', 'tempura', 'dumpling', 'maki roll 2', 'squid nigiri', 'maki roll 3', 'salmon nigiri']","['pudding', 'pudding', 'maki roll 2', 'salmon nigiri', 'maki roll 2', 'maki roll 1', 'wasabi', 'wasabi', 'sashimi', 'maki roll 2', 'tempura']",38,37
513,172,1,"['maki roll 3', 'tempura', 'egg nigiri', 'pudding', 'maki roll 2', 'wasabi', 'chopsticks', 'sashimi', 'maki roll 1', 'maki roll 3']","['wasabi', 'tempura', 'wasabi', 'salmon nigiri', 'maki roll 3', 'tempura', 'salmon nigiri', 'squid nigiri', 'pudding', 'sashimi']",7,15
514,172,2,"['pudding', 'pudding', 'maki roll 3', 'salmon nigiri', 'sashimi', 'wasabi', 'chopsticks', 'maki roll 3', 'sashimi', 'sashimi', 'pudding']","['pudding', 'squid nigiri', 'pudding', 'maki roll 2', 'dumpling', 'tempura', 'dumpling', 'egg nigiri', 'maki roll 3', 'sashimi', 'dumpling']",25,28
515,172,3,"['pudding', 'pudding', 'pudding', 'maki roll 2', 'salmon nigiri', 'maki roll 1', 'dumpling', 'chopsticks', 'dumpling', 'salmon nigiri', 'sashimi', 'pudding', 'maki roll 3']","['pudding', 'pudding', 'tempura', 'maki roll 2', 'maki roll 2', 'chopsticks', 'wasabi', 'maki roll 2', 'egg nigiri', 'egg nigiri', 'dumpling', 'tempura']",41,33
516,173,1,"['sashimi', 'tempura', 'wasabi', 'chopsticks', 'egg nigiri', 'tempura', 'maki roll 3', 'dumpling', 'maki roll 2', 'squid nigiri']","['tempura', 'sashimi', 'squid nigiri', 'egg nigiri', 'maki roll 3', 'sashimi', 'salmon nigiri', 'sashimi', 'dumpling', 'maki roll 2']",13,20
517,173,2,"['pudding', 'salmon nigiri', 'tempura', 'pudding', 'sashimi', 'squid nigiri', 'wasabi', 'sashimi', 'wasabi', 'maki roll 2']","['salmon nigiri', 'salmon nigiri', 'maki roll 1', 'maki roll 2', 'maki roll 2', 'maki roll 2', 'salmon nigiri', 'chopsticks', 'sashimi', 'tempura']",21,29
518,173,3,"['pudding', 'pudding', 'pudding', 'tempura', 'dumpling', 'maki roll 2', 'pudding', 'pudding', 'maki roll 1', 'dumpling', 'dumpling', 'maki roll 2']","['maki roll 3', 'wasabi', 'squid nigiri', 'maki roll 3', 'squid nigiri', 'salmon nigiri', 'sashimi', 'chopsticks', 'tempura', 'dumpling']",36,35
519,174,1,"['squid nigiri', 'dumpling', 'egg nigiri', 'sashimi', 'dumpling', 'salmon nigiri', 'salmon nigiri', 'sashimi', 'maki roll 1', 'pudding']","['dumpling', 'pudding', 'sashimi', 'salmon nigiri', 'sashimi', 'maki roll 2', 'squid nigiri', 'maki roll 3', 'tempura', 'tempura']",14,14
520,174,2,"['pudding', 'maki roll 1', 'pudding', 'egg nigiri', 'maki roll 2', 'dumpling', 'sashimi', 'tempura', 'maki roll 2', 'wasabi', 'maki roll 3']","['pudding', 'tempura', 'maki roll 2', 'maki roll 2', 'maki roll 2', 'salmon nigiri', 'sashimi', 'dumpling', 'wasabi', 'pudding', 'dumpling']",22,22
521,174,3,"['pudding', 'pudding', 'pudding', 'wasabi', 'maki roll 3', 'egg nigiri', 'maki roll 2', 'dumpling', 'dumpling', 'dumpling', 'tempura', 'salmon nigiri']","['pudding', 'pudding', 'maki roll 3', 'salmon nigiri', 'chopsticks', 'sashimi', 'pudding', 'dumpling', 'maki roll 3', 'pudding', 'tempura', 'sashimi']",28,34
522,175,1,"['dumpling', 'dumpling', 'tempura', 'egg nigiri', 'maki roll 1', 'maki roll 1', 'salmon nigiri', 'maki roll 2', 'salmon nigiri', 'squid nigiri']","['tempura', 'sashimi', 'salmon nigiri', 'salmon nigiri', 'pudding', 'squid nigiri', 'dumpling', 'pudding', 'pudding', 'sashimi']",17,11
523,175,2,"['sashimi', 'maki roll 2', 'wasabi', 'maki roll 2', 'egg nigiri', 'maki roll 3', 'maki roll 2', 'tempura', 'dumpling', 'salmon nigiri']","['pudding', 'pudding', 'pudding', 'tempura', 'dumpling', 'squid nigiri', 'maki roll 3', 'maki roll 2', 'salmon nigiri', 'salmon nigiri', 'sashimi', 'sashimi', 'chopsticks']",27,22
524,175,3,"['egg nigiri', 'tempura', 'sashimi', 'egg nigiri', 'salmon nigiri', 'sashimi', 'pudding', 'sashimi', 'pudding', 'sashimi']","['pudding', 'pudding', 'pudding', 'pudding', 'tempura', 'wasabi', 'maki roll 1', 'tempura', 'pudding', 'maki roll 1', 'dumpling', 'tempura', 'maki roll 2']",38,37
525,176,1,"['squid nigiri', 'egg nigiri', 'maki roll 3', 'tempura', 'egg nigiri', 'pudding', 'dumpling', 'dumpling', 'pudding', 'maki roll 2']","['pudding', 'maki roll 1', 'maki roll 2', 'tempura', 'dumpling', 'salmon nigiri', 'dumpling', 'tempura', 'sashimi', 'maki roll 3']",11,13
526,176,2,"['pudding', 'pudding', 'maki roll 2', 'maki roll 2', 'dumpling', 'tempura', 'egg nigiri', 'dumpling', 'salmon nigiri', 'sashimi', 'dumpling', 'tempura']","['pudding', 'maki roll 1', 'squid nigiri', 'maki roll 1', 'tempura', 'egg nigiri', 'maki roll 2', 'tempura', 'pudding', 'chopsticks', 'sashimi']",28,25
527,176,3,"['pudding', 'pudding', 'maki roll 2', 'chopsticks', 'salmon nigiri', 'sashimi', 'dumpling', 'maki roll 2', 'wasabi', 'squid nigiri', 'maki roll 1', 'maki roll 2']","['pudding', 'pudding', 'salmon nigiri', 'tempura', 'tempura', 'maki roll 2', 'sashimi', 'maki roll 2', 'pudding', 'tempura', 'tempura', 'maki roll 2']",34,46
528,177,1,"['sashimi', 'egg nigiri', 'dumpling', 'maki roll 1', 'pudding', 'egg nigiri', 'tempura', 'maki roll 2', 'maki roll 3', 'maki roll 2']","['dumpling', 'tempura', 'salmon nigiri', 'maki roll 3', 'egg nigiri', 'salmon nigiri', 'dumpling', 'maki roll 3', 'sashimi', 'salmon nigiri']",9,13
529,177,2,"['pudding', 'maki roll 2', 'dumpling', 'sashimi', 'tempura', 'maki roll 3', 'chopsticks', 'pudding', 'maki roll 3', 'pudding', 'pudding']","['dumpling', 'squid nigiri', 'tempura', 'dumpling', 'wasabi', 'maki roll 1', 'maki roll 3', 'egg nigiri', 'maki roll 2', 'pudding']",16,23
530,177,3,"['pudding', 'pudding', 'pudding', 'pudding', 'maki roll 2', 'wasabi', 'sashimi', 'tempura', 'tempura', 'dumpling', 'sashimi', 'squid nigiri', 'tempura', 'salmon nigiri']","['pudding', 'salmon nigiri', 'salmon nigiri', 'maki roll 2', 'maki roll 2', 'maki roll 1', 'pudding', 'sashimi', 'pudding', 'salmon nigiri', 'dumpling']",36,27
531,178,1,"['maki roll 2', 'salmon nigiri', 'pudding', 'salmon nigiri', 'sashimi', 'egg nigiri', 'salmon nigiri', 'maki roll 3', 'sashimi', 'maki roll 2']","['dumpling', 'salmon nigiri', 'maki roll 3', 'salmon nigiri', 'sashimi', 'chopsticks', 'wasabi', 'sashimi', 'maki roll 1', 'chopsticks']",13,8
532,178,2,"['pudding', 'sashimi', 'dumpling', 'salmon nigiri', 'pudding', 'egg nigiri', 'salmon nigiri', 'maki roll 3', 'tempura', 'dumpling', 'sashimi']","['tempura', 'maki roll 1', 'sashimi', 'squid nigiri', 'egg nigiri', 'tempura', 'maki roll 1', 'chopsticks', 'egg nigiri', 'maki roll 2']",24,21
533,178,3,"['pudding', 'pudding', 'maki roll 3', 'squid nigiri', 'maki roll 3', 'sashimi', 'pudding', 'maki roll 2', 'squid nigiri', 'pudding', 'maki roll 1', 'squid nigiri']","['dumpling', 'tempura', 'dumpling', 'tempura', 'pudding', 'tempura', 'tempura', 'tempura', 'dumpling', 'maki roll 3']",45,34
534,179,1,"['pudding', 'sashimi', 'maki roll 2', 'egg nigiri', 'sashimi', 'egg nigiri', 'salmon nigiri', 'chopsticks', 'squid nigiri', 'maki roll 2']","['wasabi', 'chopsticks', 'sashimi', 'maki roll 1', 'tempura', 'wasabi', 'dumpling', 'salmon nigiri', 'sashimi', 'pudding']",13,6
535,179,2,"['pudding', 'maki roll 1', 'sashimi', 'tempura', 'egg nigiri', 'salmon nigiri', 'maki roll 2', 'dumpling', 'pudding', 'maki roll 2', 'maki roll 3']","['pudding', 'maki roll 3', 'maki roll 2', 'wasabi', 'salmon nigiri', 'wasabi', 'maki roll 3', 'maki roll 3', 'dumpling', 'squid nigiri', 'salmon nigiri']",20,17
536,179,3,"['pudding', 'pudding', 'dumpling', 'tempura', 'pudding', 'tempura', 'maki roll 2', 'maki roll 2', 'maki roll 2', 'maki roll 3', 'tempura', 'maki roll 3']","['pudding', 'tempura', 'pudding', 'pudding', 'maki roll 3', 'egg nigiri', 'maki roll 2', 'maki roll 1', 'dumpling', 'maki roll 2', 'egg nigiri']",35,26
537,180,1,"['pudding', 'salmon nigiri', 'sashimi', 'maki roll 2', 'sashimi', 'squid nigiri', 'tempura', 'maki roll 3', 'pudding', 'maki roll 3']","['maki roll 2', 'maki roll 1', 'wasabi', 'tempura', 'sashimi', 'maki roll 2', 'egg nigiri', 'sashimi', 'pudding', 'pudding']",11,4
538,180,2,"['pudding', 'pudding', 'dumpling', 'tempura', 'wasabi', 'maki roll 2', 'salmon nigiri', 'maki roll 2', 'maki roll 1', 'maki roll 1', 'sashimi', 'sashimi']","['pudding', 'pudding', 'chopsticks', 'maki roll 2', 'tempura', 'tempura', 'pudding', 'tempura', 'maki roll 3', 'maki roll 3', 'maki roll 2', 'salmon nigiri']",17,14
539,180,3,"['pudding', 'pudding', 'salmon nigiri', 'sashimi', 'sashimi', 'pudding', 'sashimi', 'wasabi', 'chopsticks', 'tempura', 'pudding', 'maki roll 1']","['pudding', 'pudding', 'pudding', 'pudding', 'pudding', 'dumpling', 'salmon nigiri', 'maki roll 1', 'sashimi', 'squid nigiri', 'maki roll 3', 'maki roll 1', 'maki roll 3']",26,29
540,181,1,"['wasabi', 'salmon nigiri', 'sashimi', 'maki roll 3', 'sashimi', 'tempura', 'salmon nigiri', 'dumpling', 'maki roll 3', 'wasabi']","['wasabi', 'maki roll 3', 'maki roll 3', 'sashimi', 'pudding', 'maki roll 2', 'egg nigiri', 'sashimi', 'maki roll 1', 'wasabi']",8,4
541,181,2,"['chopsticks', 'maki roll 2', 'tempura', 'squid nigiri', 'maki roll 2', 'tempura', 'maki roll 3', 'maki roll 2', 'tempura', 'salmon nigiri']","['pudding', 'dumpling', 'sashimi', 'sashimi', 'salmon nigiri', 'chopsticks', 'pudding', 'pudding', 'maki roll 1', 'dumpling', 'egg nigiri']",24,13
